Test-ID,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,mblock_k,ublock_kt,l1_acc,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
42,HiFi4,Int8,1,1,1,8,8,2,1,r,2,Int8,1,1,1,8,2,1,2,r,2,Int32,1,1,1,8,2,2,2,r,2,8,1,False,0,127,25.724796295166016,16304518,1.0611536058086235,0.2652884014521559,2.0740233404077952,1.0611478364463152,0.2652869591115788,2.0740616803268885
43,HiFi4,Int8,1,1,1,4,8,2,1,r,2,Int8,1,1,1,8,2,1,2,r,2,Int32,1,1,1,4,2,2,2,r,2,8,1,False,0,127,25.66605567932129,8170917,1.0587638843625005,0.5293819421812502,2.0693298992915437,1.0587247428899351,0.5293623714449676,2.069325633830328
44,HiFi4,Int8,1,1,1,2,8,2,1,r,2,Int8,1,1,1,8,2,1,2,r,2,Int32,1,1,1,2,2,2,2,r,2,8,1,False,0,127,25.55108642578125,4103841,1.0540804013164018,1.0540804013164018,2.060163047709618,1.0539823545795268,1.0539823545795268,2.0600564203145297
45,HiFi4,Int8,1,1,1,4,8,2,2,r,2,Int8,1,1,1,8,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,8,2,False,0,127,41.13969039916992,20390549,0.8485268787105333,0.8485268787105333,1.6584765659330312,0.8485060407152353,0.8485060407152353,1.6584436250343235
48,HiFi4,Int8,1,1,1,8,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,8,2,2,2,r,2,8,2,False,0,127,40.957088470458984,20481457,1.6894616503845354,0.42236541259613386,1.6510568325719,1.6894798060509073,0.4223699515127268,1.6510825377315685
53,HiFi4,Int8,1,1,1,4,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,8,2,False,0,127,40.98444366455078,10233893,1.690692959779511,0.8453464798897555,1.652236388041436,1.6906082563106728,0.8453041281553364,1.6521853413945211
56,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,8,2,False,0,127,41.169578552246094,20375745,0.4245746076212,1.6982984304848,1.6596926111530443,0.4245612614409927,1.6982450457639708,1.6596485674511534
59,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,8,2,False,0,127,41.07481384277344,10211377,0.8472218369893387,1.6944436739786775,1.655922475761337,0.847168016615193,1.694336033230386,1.6558283961115137
60,HiFi4,Int8,1,1,1,2,32,2,2,r,2,Int8,1,1,1,32,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,8,8,False,0,127,69.94161987304688,11993728,2.8849673304768246,2.8849673304768246,0.7048017641688699,2.885091941388032,2.885091941388032,0.7048804174982124
62,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,8,2,False,0,127,40.835166931152344,5135652,1.6846336469494656,1.6846336469494656,1.6463106518102635,1.6844505819319533,1.6844505819319533,1.6461676141607726
63,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,4,2,False,0,127,44.605796813964844,9403047,0.9200601998945216,0.9200601998945216,3.596504895829894,0.9199945507025542,0.9199945507025542,3.59634233456453
64,HiFi4,Int8,1,1,1,8,4,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int32,1,1,1,8,2,2,2,r,2,4,2,False,0,127,44.39716339111328,9447234,1.8314122337991041,0.45785305844977603,3.5795937327100837,1.8313830270320393,0.4578457567580098,3.5795213710171674
65,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,4,2,False,0,127,44.45209503173828,4717780,1.8338782015055755,0.9169391007527877,3.5842482042109305,1.833648877226153,0.9168244386130765,3.5839500782147535
